hub_u,hub_v,dist_km,base_cost,exp_delay_hours,emissions_factor,capacity
0,2,885.6640181795665,249.1311613742956,4.308714325242616,267.54921977769845,1000000.0
0,4,1412.2145988340956,397.2461970854743,6.471763358011379,426.61427620528224,1000000.0
0,5,930.4991594462198,261.7429764473533,4.308714325242616,281.0934157914106,1000000.0
0,6,1609.9250807037813,452.86078789306873,7.377812235508731,486.34040719887804,1000000.0
0,10,1877.4968138805368,528.1268653998361,8.00189803259343,567.1708428680993,1000000.0
1,3,1450.0792535653945,509.1154186597886,7.626984731941448,438.3017645856447,1000000.0
1,7,1757.5790263593428,617.0770181233042,7.855103832011186,531.2468175500854,1000000.0
1,8,801.3763279763011,281.3591351772962,4.229671294159869,242.22445620510146,1000000.0
1,9,749.8670379090553,263.2744865534534,4.229671294159869,226.65522943800082,1000000.0
1,11,985.1382042615178,345.87699125214505,5.1815333708696265,297.7684235029876,1000000.0
2,0,885.6640181795665,209.23323082314892,4.212580383450879,261.4912814937798,1000000.0
2,4,1736.863541897004,410.3244152528813,6.263818339014564,512.8069606847118,1000000.0
2,5,1813.3767966015184,428.40024892570665,6.539755461554643,535.3974110284753,1000000.0
2,6,1421.9469065476148,335.9271001293161,5.128104134542397,419.8281867355536,1000000.0
2,10,2485.618770692261,587.2137010325755,7.82336356926592,733.8760797681332,1000000.0
3,1,1450.0792535653945,533.3362395365322,7.870414811937733,433.4475136509017,1000000.0
3,7,792.7645413909908,291.5772074552386,4.302789501747256,236.96761299883389,1000000.0
3,8,1488.7657385383764,547.5650510760706,7.971717151407809,445.01140623277416,1000000.0
3,10,855.5197406496043,314.65844380950057,4.643398091627217,255.72595673793094,1000000.0
3,11,1061.8847050144627,390.5590635830946,5.763459542205676,317.4111235925514,1000000.0
4,0,1412.2145988340956,404.5881844086271,6.832548019100581,429.8525475126738,1000000.0
4,2,1736.863541897004,497.5975093033293,8.154099348444962,528.6698061206075,1000000.0
4,5,1515.4239377534643,434.156834302118,7.331893348605319,461.26760107338373,1000000.0
4,6,891.6146162945173,255.4404543733032,4.390668879931902,271.39134132315996,1000000.0
4,10,926.0568595006079,265.307881503158,4.480429508503265,281.8749363776311,1000000.0
5,0,930.4991594462198,272.4134274394018,4.511802556354197,278.6912445808498,1000000.0
5,1,1686.9446609895485,493.8708136762407,8.150175782706077,505.25215669189384,1000000.0
5,4,1515.4239377534643,443.65631577015495,7.347984710040568,453.8804565191388,1000000.0
5,8,885.8766949361693,259.34973106249123,4.388556190687887,265.3264929372568,1000000.0
5,10,1446.1215378147988,423.36730840737164,7.011951364894033,433.1238852796322,1000000.0
6,0,1609.9250807037813,396.66951504550366,6.2966170290274475,472.9959124250066,1000000.0
6,2,1421.9469065476148,350.3535640267957,5.561411033006949,417.76793376520817,1000000.0
6,4,891.6146162945173,219.68496651932327,4.307076520114351,261.9563320184672,1000000.0
6,5,2133.260497494773,525.6141525772516,7.998856394498081,626.7518330801254,1000000.0
6,10,1809.2347227549287,445.77742696259753,7.0761418039567285,531.5530758154126,1000000.0
7,1,1757.5790263593428,479.0138431087153,7.808740653360399,524.1711075532203,1000000.0
7,3,792.7645413909908,216.06151641364463,4.251099395416943,236.42991948452905,1000000.0
7,9,1764.4521831427076,480.887065988433,7.839277373465869,526.220921615343,1000000.0
7,10,1616.9317397594907,440.68157112174083,7.183859400121917,482.22520191499115,1000000.0
7,11,902.777830306863,246.04474193368287,4.251099395416943,269.23970307420603,1000000.0
8,1,801.3763279763011,261.15084400654956,4.125261346025025,237.0570347311138,1000000.0
8,3,1488.7657385383764,485.15586943919396,7.096203341177463,440.3953287195439,1000000.0
8,5,885.8766949361693,288.6876471039893,4.222532128291081,262.0532889576171,1000000.0
8,9,1550.9081972854715,505.4067241049759,7.392405431254479,458.7778370208405,1000000.0
8,10,1454.9982394497142,474.1517873629696,6.9352505239186355,430.4064846212184,1000000.0
9,1,749.8670379090553,216.56006166868823,4.307448039943382,219.57821622326853,1000000.0
9,3,1796.6963916969585,518.8822307362076,7.999546359894853,526.113789297468,1000000.0
9,7,1764.4521831427076,509.57016947740414,7.999546359894853,516.6719476909668,1000000.0
9,8,1550.9081972854715,447.89910459746045,7.0954343140430485,454.1413854322406,1000000.0
9,11,863.1819600520427,249.28517863835043,4.307448039943382,252.7594166465006,1000000.0
10,1,1840.0282086445848,539.8160926727228,7.567564539444804,543.84956109124,1000000.0
10,3,855.5197406496043,250.98708891101307,4.074842444316433,252.86244703819648,1000000.0
10,4,926.0568595006079,271.68083246758,4.132295755462639,273.71081281190226,1000000.0
10,5,1446.1215378147988,424.2541904550987,6.452953543066191,427.4241883522561,1000000.0
10,8,1454.9982394497142,426.85838226578375,6.492563590885772,430.0478385035996,1000000.0
11,1,985.1382042615178,352.96018635696635,5.639299529962785,291.7977914541307,1000000.0
11,3,1061.8847050144627,380.4573020822778,6.0786252040156,314.5300937084418,1000000.0
11,7,902.777830306863,323.45170438589525,5.167837946074452,267.4026607817598,1000000.0
11,8,1581.88780107465,566.7665822397653,8.029386681266228,468.5549344092625,1000000.0
11,9,863.1819600520427,309.26510022857883,4.941176375595758,255.6743698261552,1000000.0
