feature,importance
vehicle_gps_latitude,0.044
customs_clearance_time,0.0437
order_fulfillment_status,0.0437
loading_unloading_time,0.0434
historical_demand,0.0433
vehicle_gps_longitude,0.0432
driver_behavior_score,0.043
supplier_reliability_score,0.0429
eta_variation_hours,0.0428
weather_condition_severity,0.0428
cargo_condition_status,0.0427
fatigue_monitoring_score,0.0427
warehouse_inventory_level,0.0426
handling_equipment_availability,0.0425
port_congestion_level,0.0425
traffic_congestion_level,0.0421
lead_time_days,0.0421
route_risk_level,0.042
iot_temperature,0.0418
fuel_consumption_rate,0.0415
disruption_likelihood_score,0.0411
hour,0.0277
week_of_year,0.0229
day_of_week,0.0143
month_cos,0.0112
year,0.0102
month_sin,0.0086
month,0.0054
risk_classification_code,0.0018
is_weekend,0.0015
