threshold,precision,recall,f1,balanced_accuracy,positive_rate
0.25,0.2503,0.997,0.4001,0.5008,0.9958
0.27,0.2504,0.9815,0.399,0.5011,0.9799
0.29,0.2497,0.9331,0.3939,0.4992,0.9343
0.31,0.2502,0.8268,0.3841,0.5004,0.8262
0.33,0.2556,0.6597,0.3684,0.5096,0.6453
0.35,0.2621,0.4616,0.3344,0.5143,0.4402
0.37,0.2712,0.2735,0.2723,0.5142,0.2521
0.39,0.2606,0.1168,0.1613,0.5032,0.112
0.41,0.2571,0.0449,0.0765,0.5008,0.0437
0.43,0.2832,0.016,0.0302,0.5012,0.0141
0.45,0.3056,0.0055,0.0108,0.5007,0.0045
0.47,0.25,0.0005,0.001,0.5,0.0005
0.49,0.0,0.0,0.0,0.5,0.0
0.51,0.0,0.0,0.0,0.5,0.0
0.53,0.0,0.0,0.0,0.5,0.0
0.55,0.0,0.0,0.0,0.5,0.0
